Comparing files film.yuv and FILMDEC.YUV
00141BDB: 97 98
00141BFB: 97 96
00142387: 99 9A
001424C6: 9C 9D
00142DC4: 9B 9A
00142ED0: 9B 9A
00142F1C: 9B 9C
00143B7B: 9D 9C
00143B90: 9D 9C
00143BB7: 9B 9A
00143CBF: 9B 9C
00143F7F: 9D 9E
0014440E: A0 9F
001446C5: 9D 9E
0014471B: 9F 9E
001447B3: 9D 9C
001448EF: 9D 9E
00144B1B: A0 9F
00144BE7: 9E 9D
00144BF0: 9E 9D
00144C30: 9F A0
00145214: A1 A2
001457B3: 9F 9E
001457FF: A0 9F
00145BFB: A0 9F
00145F6F: A1 A0
00146356: A3 A2
001463A0: A0 9F
0014641F: A5 A6
00146B40: A5 A4
00146FBF: A1 A0
001477B8: A2 A1
001477BF: A2 A1
00147F70: A6 A5
00148300: AB AA
001488CC: A3 A4
001488D7: A4 A3
00148C6F: A8 A9
00148E90: A6 A7
00148FFD: A8 A7
00149303: AE AF
00149370: A9 A8
001493E3: A6 A5
00149437: AD AE
001497F3: A7 A6
0014981F: AF B0
00149BA8: A8 A7
00149BBF: A8 A7
00149C6F: AB AC
00149F00: B2 B1
00149FBF: A9 A8
0014A3BF: AA A9
0014A417: B2 B3
0014A930: B2 B1
0014AB10: B5 B4
0014B3E7: AB AA
0014B3FF: AD AC
0014B413: B7 B8
0014B4F0: AC AD
0014BB90: B2 B1
0014BBE7: AD AC
0014BCE6: AD AE
0014BF00: BA B9
0014BFFF: AF AE
0014C343: B9 B8
0014C39B: B2 B3
0014CACF: B0 B1
0014CB00: BC BB
0014CBE7: B1 B0
0014CBF0: B1 B0
0014CF20: BC BB
0014D7CF: B4 B5
0014D8CF: B5 B6
0014DC4F: BD BE
0014DFD0: B6 B5
0014E39A: BA B9
0014EF90: BD BC
0014F47B: BF C0
0014F7C0: BA B9
0014FFC0: BB BA
00150766: 5C 5B
00151066: 5D 5C
001551A9: 66 67
001564DA: 68 67
00158808: 73 72
0015B73A: 79 7A
0015B7F7: 73 72
0015BF00: 52 51
0015CF9E: 7B 7A
0015D4D5: 55 56
0015D77A: 7E 7D
0015F035: 61 62
0015FF21: 61 62
0015FF86: 6E 6D
0016004F: 82 81
001600B7: 86 85
0016084F: 81 80
00160C07: 7D 7C
00160C5F: 81 80
0016108F: 83 82
001610BF: 85 84
0016166B: 80 7F
0016182F: 7D 7C
0016188F: 82 81
001618BF: 84 83
00161C3F: 7D 7C
00161C83: 81 80
00161C88: 81 80
00161C9F: 82 81
0016207B: 7F 7E
00162083: 80 7F
001620BF: 83 82
00162443: 7C 7B
00162483: 7F 7E
0016249F: 81 80
0016262B: 7B 7A
001626AB: 82 81
0016285F: 7D 7C
00162A9B: 7F 7E
00162C13: 78 77
00162C43: 7B 7A
00162CBF: 82 81
00162CF3: 84 83
00162CFF: 85 84
0016305F: 7C 7B
0016309F: 7F 7E
001634BF: 81 80
00163604: 77 78
0016381C: 77 76
0016389F: 7E 7D
001638AF: 7F 7E
00163A43: 78 77
00163AD3: 80 7F
00163CAF: 7E 7D
00163CDB: 80 7F
00163CF3: 81 80
0016407F: 7B 7A
00164467: 79 78
001644AF: 7D 7C
001644FF: 80 7F
0016481F: 75 74
0016484F: 77 76
0016488F: 7B 7A
001648BF: 7D 7C
001648DF: 7E 7D
001648FF: 7F 7E
00164A73: 78 77
00164D0E: 75 74
0016504F: 76 75
001650AF: 7B 7A
001650FF: 7E 7D
0016568B: 79 78
00165690: 79 78
0016584F: 75 74
00165AB3: 79 78
00166647: 73 72
001666DB: 7B 7A
001666E0: 7B 7A
00166877: 75 74
00166A43: 71 70
00166F00: 6E 6F
00166F43: 71 70
001677DC: 78 79
001678DC: 77 78
00167C1F: 6E 6D
00168057: 70 6F
0016866B: 72 71
00168800: 71 72
001688AF: 75 74
00168C3B: 6E 6D
00168C43: 6F 6E
00168E1F: 87 88
0016900F: 8E 8F
0016921F: 8D 8E
00169722: 91 90
00169A3B: 6B 6A
0016A03F: 6B 6A
0016A09F: 72 71
0016A71F: 8D 8E
0016A83F: 6A 69
0016A84F: 6B 6A
0016A85F: 6C 6B
0016A931: 68 69
0016AA63: 6C 6B
0016AF3B: 6A 69
0016B087: 6E 6D
0016B0BF: 72 71
0016B3F8: 74 75
0016B8BF: 71 70
0016BC1B: 8D 8C
0016BC20: 8D 8C
0016BEF7: 74 73
0016C05F: 6A 69
0016C06F: 6B 6A
0016C07F: 6C 6B
0016C407: 8A 89
0016C417: 8B 8A
0016C86F: 6A 69
0016C87F: 6B 6A
0016CBAF: 6F 6E
0016CF8F: 6C 6B
0016D013: 8A 89
0016D813: 89 88
0016D81F: 8A 89
0016DF2B: 8A 89
0016DFBC: 8F 90
0016E601: 86 87
0016F04B: 8A 89
0016F65B: 8A 89
0016F926: A6 A5
0016FE97: 8D 8C
0016FFD4: 8F 90
0016FFEF: 90 91
0016FFFF: 91 92
00170B5C: C5 C4
00170B64: C4 C3
00170F88: C2 C1
0017106F: C4 C5
0017147B: C4 C5
001717D0: BD BC
00171B9B: C2 C1
00171BA0: C2 C1
00171BF0: BC BB
00172390: C4 C3
0017275C: C7 C6
00172764: C6 C5
00172BC0: C1 C0
00172FE0: C0 BF
001733EA: BF BE
001733EF: BF BE
00173FB0: C4 C3
00173FC0: C3 C2
00173FD0: C2 C1
00174F07: CB CA
00174F30: C9 C8
00175B00: C9 CA
00175CFF: C2 C3
00175FB0: C5 C4
00176783: C8 C7
00177330: C7 C8
001777B0: C5 C4
00177FCF: C4 C5
00178880: C4 C3
00179067: C4 C3
00179070: C4 C3
00179304: AA A9
00179667: C3 C2
00179697: C2 C1
001796E8: C1 C0
0017978F: C2 C3
0017983F: C2 C1
00179AD7: C0 BF
00179AF8: BF BE
00179E10: AC AD
0017A06F: C1 C0
0017A510: B0 AF
0017A880: C0 BF
0017A8E0: BF BE
0017AA73: BF BE
0017AB00: B1 B0
0017ACB6: BF BE
0017AF0F: B1 B2
0017AF40: BF BE
0017B70A: B9 B8
0017BB1F: B8 B9
0017BFE7: BD BE
0017BFEF: BE BD
0017C01F: BC BD
0017C033: BB BC
0017C0B8: BD BC
0017C0BF: BD BC
0017C307: BF BE
0017C30C: BF BE
0017C7E3: BD BE
0017CB3A: BE BD
0017D364: BD BC
0017D43F: C0 C1
0017D740: C1 C0
0017D85F: BE BF
0017D8B0: BD BC
0017DB37: C2 C1
0017DB74: BD BC
0017DE6B: C0 BF
0017DF93: BE BD
0017E360: C1 C0
0017E3D0: BD BE
0017ECCB: B9 BA
0017F0C0: B8 B7
0017F3E3: B7 B8
0017F70F: C2 C3
0017F8C0: B7 B6
0017FB6F: C0 C1
0017FDA6: B9 B8
0017FDAA: B8 B7
00180371: 72 73
00180704: 6C 6D
00180A05: 72 73
00181803: 69 6A
001830CA: 63 62
0018BAE3: 56 55
0018BF22: 5B 5A
0018BF91: 56 57
0018BF98: 56 57
0018C098: 56 57
0018C7A5: 55 56
0018C9B3: 54 55
0018CF6D: 55 56
0018E0B9: 3C 3B
0018E65F: 3B 3C
